ファイル名,サイズ,用途
01_logo_mt_consulting.png,155 × 45px,サイトロゴ
02_hero_main_visual.png,364 × 325px,ファーストビュー右側のメインビジュアル
03_service_icon_management_support.png,75 × 70px,経営戦略立案支援アイコン
04_service_icon_operations_support.png,80 × 70px,業務改善・効率化支援アイコン
05_service_icon_marketing_support.png,80 × 70px,マーケティング支援アイコン
06_service_icon_successor_support.png,80 × 70px,事業承継・後継者支援アイコン
07_strengths_business_meeting_photo.png,372 × 290px,選ばれる3つの理由の写真
08_case_study_manufacturing_photo.png,230 × 130px,製造業の支援実績写真
09_case_study_new_business_photo.png,230 × 130px,新規事業立ち上げ支援写真
10_case_study_retail_photo.png,235 × 130px,小売業の支援実績写真
11_cta_city_background.png,864 × 145px,お問い合わせCTAの背景
